path,loc,cc
src\transformers\trainer.py,4016,1228
src\transformers\modeling_utils.py,3952,1223
tests\test_modeling_common.py,3436,808
src\transformers\models\seamless_m4t_v2\modeling_seamless_m4t_v2.py,2852,709
src\transformers\models\seamless_m4t\modeling_seamless_m4t.py,2703,667
src\transformers\integrations\integration_utils.py,1797,629
src\transformers\generation\utils.py,2483,618
src\transformers\modeling_tf_utils.py,2049,610
src\transformers\tokenization_utils_base.py,2479,605
src\transformers\models\qwen3_omni_moe\modeling_qwen3_omni_moe.py,2973,602
src\transformers\models\qwen2_5_omni\modeling_qwen2_5_omni.py,2876,602
src\transformers\testing_utils.py,2146,567
tests\trainer\test_trainer.py,4989,551
src\transformers\models\qwen2_5_omni\modular_qwen2_5_omni.py,2758,538
src\transformers\models\speecht5\modeling_speecht5.py,2022,527
src\transformers\data\data_collator.py,1317,515
src\transformers\models\perceiver\modeling_perceiver.py,2062,514
tests\test_tokenization_common.py,3556,505
tests\generation\test_utils.py,3759,504
src\transformers\utils\import_utils.py,1821,501
src\transformers\models\tapas\tokenization_tapas.py,1821,493
src\transformers\generation\logits_process.py,1190,460
src\transformers\models\bigbird_pegasus\modeling_bigbird_pegasus.py,2041,458
src\transformers\models\deprecated\jukebox\modeling_jukebox.py,1889,457
src\transformers\models\moshi\modeling_moshi.py,1595,449
src\transformers\models\big_bird\modeling_big_bird.py,2037,445
src\transformers\models\t5\modeling_t5.py,1692,441
src\transformers\models\reformer\modeling_reformer.py,1797,436
src\transformers\models\oneformer\modeling_oneformer.py,2064,434
src\transformers\models\mt5\modeling_mt5.py,1669,434
src\transformers\models\deprecated\mega\modeling_mega.py,1425,428
src\transformers\utils\quantization_config.py,1204,421
src\transformers\models\deprecated\deta\modeling_deta.py,1702,420
src\transformers\models\wav2vec2\modeling_wav2vec2.py,1518,411
src\transformers\models\edgetam_video\modeling_edgetam_video.py,1980,406
src\transformers\models\qwen3_omni_moe\modular_qwen3_omni_moe.py,2065,401
utils\modular_model_converter.py,1111,389
src\transformers\models\bert\modeling_bert.py,1338,387
src\transformers\models\d_fine\modeling_d_fine.py,1420,385
src\transformers\models\whisper\generation_whisper.py,1426,380
src\transformers\models\mobilebert\modeling_tf_mobilebert.py,1520,378
src\transformers\models\grounding_dino\modeling_grounding_dino.py,1643,375
src\transformers\models\musicgen\modeling_musicgen.py,1534,374
src\transformers\models\mm_grounding_dino\modeling_mm_grounding_dino.py,1624,369
src\transformers\training_args.py,1827,364
src\transformers\models\bridgetower\modeling_bridgetower.py,1319,362
src\transformers\models\udop\modeling_udop.py,1335,361
src\transformers\models\flava\modeling_flava.py,1312,361
src\transformers\models\xlnet\modeling_xlnet.py,1392,360
src\transformers\models\sam2_video\modeling_sam2_video.py,1685,358
src\transformers\models\roc_bert\modeling_roc_bert.py,1317,356
src\transformers\pipelines\base.py,1022,355
src\transformers\models\umt5\modeling_umt5.py,1253,354
src\transformers\models\longt5\modeling_longt5.py,1492,353
src\transformers\models\bart\modeling_bart.py,1271,353
src\transformers\models\deberta_v2\modeling_tf_deberta_v2.py,1442,351
src\transformers\models\musicgen_melody\modeling_musicgen_melody.py,1400,350
src\transformers\models\patchtsmixer\modeling_patchtsmixer.py,1152,349
src\transformers\models\bert\modeling_tf_bert.py,1580,346
src\transformers\convert_slow_tokenizer.py,1399,346
src\transformers\models\informer\modeling_informer.py,1236,346
src\transformers\models\led\modeling_led.py,1553,344
src\transformers\models\groupvit\modeling_tf_groupvit.py,1491,344
src\transformers\models\funnel\modeling_tf_funnel.py,1399,343
src\transformers\models\sew_d\modeling_sew_d.py,1122,342
